id,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,grass_pollen,air_quality
8745,2024-03-09,3.46,2.02,152.04,1.23,0.08,80.17,0.02,Bonne
10599,2023-07-02,7.05,4.37,144.96,0.75,0.06,62.88,8.15,Bonne
10600,2023-07-03,8.68,5.66,150.88,0.88,0.13,66.88,10.28,Bonne
10601,2023-07-04,5.93,3.27,113.17,0.93,0.13,56.33,9.62,Bonne
10602,2023-07-05,8.03,3.85,116.96,1.15,0.09,48.88,14.43,Bonne
10603,2023-07-06,10.0,4.3,117.29,1.16,0.11,49.71,10.78,Bonne
10604,2023-07-07,12.16,6.33,127.46,1.65,0.26,67.79,12.2,Bonne
10605,2023-07-08,13.62,7.42,136.29,1.2,0.38,80.96,9.28,Bonne
10606,2023-07-09,17.85,9.34,148.71,1.45,0.43,77.79,12.42,Bonne
10607,2023-07-10,23.05,11.56,154.0,1.35,0.4,79.12,10.39,Acceptable
10608,2023-07-11,23.96,12.2,145.67,1.55,0.43,83.42,11.49,Acceptable
10609,2023-07-12,41.29,16.2,132.38,1.52,0.44,77.0,10.19,Acceptable
10610,2023-07-13,10.7,5.15,124.62,1.28,0.12,58.92,4.64,Bonne
10611,2023-07-14,6.38,3.39,123.04,1.53,0.31,74.79,12.8,Bonne
10612,2023-07-15,12.5,7.03,128.0,1.4,0.45,81.12,8.73,Bonne
10613,2023-07-16,13.33,7.55,126.25,0.92,0.3,73.29,6.94,Bonne
10614,2023-07-17,16.41,8.8,129.79,1.29,0.29,70.62,8.1,Bonne
10615,2023-07-18,23.23,10.38,123.08,1.61,0.47,72.67,8.64,Acceptable
10616,2023-07-19,26.22,12.09,135.96,1.28,0.45,76.29,8.57,Acceptable
10617,2023-07-20,10.4,5.48,131.62,1.09,0.18,78.75,8.4,Bonne
10618,2023-07-21,8.34,4.55,123.62,1.3,0.16,73.08,8.52,Bonne
10619,2023-07-22,7.29,4.11,126.79,1.12,0.11,75.71,6.73,Bonne
10620,2023-07-23,9.44,5.95,128.67,1.25,0.26,74.08,7.31,Bonne
10621,2023-07-24,18.38,9.12,127.12,1.22,0.4,81.75,4.67,Bonne
10622,2023-07-25,6.21,3.34,137.54,1.01,0.09,67.92,2.9,Bonne
10623,2023-07-26,3.6,2.19,123.08,0.82,0.09,77.17,3.32,Bonne
10624,2023-07-27,4.82,2.88,134.67,1.08,0.1,73.5,5.66,Bonne
10625,2023-07-28,6.5,3.81,134.88,2.02,0.49,67.96,4.28,Bonne
10626,2023-07-29,8.53,6.14,144.42,1.66,0.37,79.67,3.8,Bonne
10627,2023-07-30,4.62,3.38,146.75,0.86,0.08,68.71,2.36,Bonne
10628,2023-07-31,5.22,3.26,148.17,0.97,0.15,75.21,5.29,Bonne
10629,2023-08-01,6.68,4.08,144.0,1.08,0.13,67.33,4.87,Bonne
10630,2023-08-02,6.46,3.8,141.21,1.06,0.19,70.46,3.88,Bonne
10631,2023-08-03,5.64,3.05,138.33,0.96,0.13,72.33,2.78,Bonne
10632,2023-08-04,3.04,1.81,131.92,0.85,0.09,66.62,2.66,Bonne
10633,2023-08-05,3.44,2.44,130.67,0.72,0.12,80.0,1.95,Bonne
10634,2023-08-06,3.62,2.23,126.17,0.71,0.11,74.67,2.32,Bonne
